,統一編號,商業名稱,商業地址,登記狀態,Type
352,1089452,趙炳菜肉餛飩小吃店,臺北市中正區桃源街5號1樓,核准設立,餐廳餐館
353,1094954,清真黃牛肉麵館,臺北市中正區延平南路23號1樓,核准設立,餐廳餐館
355,1106754,金菓園小吃店,臺北市中正區博愛路160巷9號1樓,核准設立,餐廳餐館
357,1148614,有佳小吃店,臺北市大同區長安西路53巷6號1樓,核准設立,餐廳餐館
360,1181367,阿興小吃店,臺北市中山區南京東路1段132巷21號,核准設立,餐廳餐館
414,1266533,上嘉食品行,臺北市中山區長春路89之1號1樓,核准設立,餐廳餐館
423,1272401,新長春餐館,臺北市中山區中山北路2段36巷5號1樓,核准設立,餐廳餐館
432,1277715,松青素食館,臺北市中山區錦西街4之1號1樓,核准設立,餐廳餐館
452,1301124,圓重羊肉爐小吃店,臺北市中山區民權東路2段135巷31號1樓,核准設立,餐廳餐館
458,1322373,豬小寶食品行,臺北市中山區興安街118號1樓,核准設立,餐廳餐館
462,1338918,九記小吃店,臺北市中山區長春路104號1樓,核准設立,餐廳餐館
466,1346488,恆園小吃店,臺北市中山區興安街116號1樓,核准設立,餐廳餐館
479,1376187,湖田橋小吃店,臺北市北投區竹子湖路29之1號,核准設立,餐廳餐館
489,1398014,超群冬粉小吃,臺北市北投區永興路1段21號1樓,核准設立,餐廳餐館
490,1398555,鳳凰薑母鴨店,臺北市北投區崇仁路1段29號1樓,核准設立,餐廳餐館
491,1398675,山園餐館,臺北市北投區竹子湖路20之1號,核准設立,餐廳餐館
492,1399055,水尾青菜園餐飲,臺北市北投區竹子湖路55之11號,核准設立,餐廳餐館
493,1402679,頂湖小鎮小吃店,臺北市北投區竹子湖路68號,核准設立,餐廳餐館
494,1404867,林益全小吃店,臺北市北投區明德路168號,核准設立,餐廳餐館
500,1409048,鏵江川菜館,臺北市萬華區環河南路2段201號,核准設立,餐廳餐館
573,1481809,杏味早餐店,臺北市中正區延平南路230巷5號,核准設立,餐廳餐館
658,1594698,湖南鳳凰小館,臺北市松山區光復北路11巷69號,核准設立,餐廳餐館
660,1597908,吳記毛肚火鍋店,臺北市松山區八德路4段145號,核准設立,餐廳餐館
663,1598391,順發號蚵仔煎,臺北市信義區吳興街269巷5號1樓,核准設立,餐廳餐館
703,1645161,黃佳群商店,臺北市南港區研究院路2段70巷35號1樓,核准設立,餐廳餐館
715,1679078,呅呅食品行,臺北市南港區舊庄街1段88號1樓,核准設立,餐廳餐館
730,1705625,大頭土雞城餐廳,臺北市文山區指南路3段38巷18之2號,核准設立,餐廳餐館
733,1706434,康迪麥小吃店,臺北市文山區木柵路2段80號1樓,核准設立,餐廳餐館
