最小統計區代碼,X,Y
A6301-0001-00,306653.86105,2774050.73948
A6301-0002-00,307256.32559,2773968.69367
A6301-0003-00,305900.90639,2773938.69928
A6301-0004-00,306588.47061,2773855.11767
A6301-0005-00,305676.92066,2773835.39705
A6301-0006-00,306399.70849,2773759.84425
A6301-0007-00,307190.95914,2773624.09137
A6301-0008-00,307464.41594,2773432.17397
A6301-0009-00,307528.95971,2773365.37701
A6301-0010-00,307070.50946,2773328.64127
A6301-0011-00,307307.66385,2773333.75167
A6301-0012-00,305836.15487,2773328.45007
A6301-0013-00,307176.11333,2773213.73095
A6301-0014-00,304951.89047,2773178.73548
A6301-0015-00,307174.35483,2773177.68243
A6301-0016-00,306998.15331,2773163.34304
A6301-0017-00,307178.7814,2773148.13691
A6301-0018-00,305024.09548,2773136.05034
A6301-0019-00,307233.78763,2773128.07847
A6301-0020-00,307012.082,2773126.05018
A6301-0021-00,307119.7894,2773110.04587
A6301-0022-00,304998.53188,2773105.27797
A6301-0023-00,306920.75337,2773096.46137
A6301-0024-00,304957.07296,2773093.20549
A6301-0025-00,307011.13507,2773095.07061
A6301-0026-00,307120.41487,2773081.06565
A6301-0027-00,305089.69061,2773078.94665
A6301-0028-00,307018.24184,2773062.67405
A6301-0029-00,306928.61776,2773050.80066
A6301-0030-00,305065.19801,2773050.09579
A6301-0031-00,307124.8382,2773048.21439
A6301-0032-00,304988.20471,2773038.66553
A6301-0033-00,307023.149,2773029.44232
A6301-0034-00,307262.85116,2773023.50078
A6301-0035-00,305264.83346,2773004.27724
A6301-0036-00,307131.3593,2773003.09409
A6301-0037-00,307028.09362,2772998.84754
A6301-0038-00,305125.25545,2772995.543
A6301-0039-00,305183.35444,2772982.55451
A6301-0040-00,305054.35637,2772983.99072
A6301-0041-00,307032.40853,2772970.73229
A6301-0042-00,304946.51712,2772959.64061
A6301-0043-00,306923.48547,2772951.16348
A6301-0044-00,307141.84067,2772942.01367
A6301-0045-00,305001.73092,2772935.43588
A6301-0046-00,305306.13583,2772934.48649
A6301-0047-00,305101.2759,2772930.17766
A6301-0048-00,307038.9391,2772926.17654
A6301-0049-00,307263.52517,2772894.53049
A6301-0050-00,307170.78541,2772882.24649
A6301-0051-00,305297.43666,2772877.11213
A6301-0052-00,305041.9713,2772877.39105
A6301-0053-00,305156.35504,2772875.90153
A6301-0054-00,305216.9643,2772869.23554
A6301-0055-00,305872.11623,2772871.81978
A6301-0056-00,307055.98454,2772864.02056
A6301-0057-00,305088.85628,2772863.48391
A6301-0058-00,305636.84095,2772860.84269
A6301-0059-00,306983.52812,2772852.24701
A6301-0060-00,306882.75653,2772847.21697
A6301-0061-00,305420.83967,2772841.14315
A6301-0062-00,307260.01,2772840.60283
A6301-0063-00,304945.41789,2772837.22822
A6301-0064-00,307172.49812,2772827.96488
A6301-0065-00,307068.64817,2772816.68727
A6301-0066-00,306887.11966,2772816.5717
A6301-0067-00,305034.2812,2772807.47835
A6301-0068-00,305208.11668,2772801.18421
A6301-0069-00,305475.88466,2772794.12443
A6301-0070-00,306968.17161,2772791.79634
A6301-0071-00,307240.6618,2772790.2301
A6301-0072-00,305409.4776,2772782.64005
A6301-0073-00,307074.02839,2772784.69264
A6301-0074-00,306878.25528,2772782.24017
A6301-0075-00,306666.04989,2772779.20366
A6301-0076-00,307168.95226,2772776.03187
A6301-0077-00,305764.87482,2772769.1398
A6301-0078-00,307223.44526,2772760.7713
A6301-0079-00,307076.41564,2772752.17493
A6301-0080-00,305016.02168,2772743.91889
A6301-0081-00,305086.55954,2772742.91428
A6301-0082-00,306920.24456,2772738.17797
A6301-0083-00,305128.5933,2772729.51739
A6301-0084-00,307174.82597,2772732.16508
A6301-0085-00,305190.86341,2772729.69184
A6301-0086-00,305255.83139,2772728.29069
A6301-0087-00,305318.34173,2772720.92911
A6301-0088-00,306781.85971,2772717.77825
A6301-0089-00,307082.31264,2772711.40839
