U_ID,CODEBASE,CODE1,CODE2,TOWN_ID,TOWN,COUNTY_ID,COUNTY,X,Y,AREA,bus_stops,MRT_stops,lon,lat
1972,A6310-0024-00,A6310-01-006,A6310-01,63000100,內湖區,63000,臺北市,310951.8406,2775913.38245,362112.90727,0,0,121.60427739121215,25.090278939600235
1973,A6311-0791-00,A6311-61-005,A6311-61,63000110,士林區,63000,臺北市,300103.56005,2776285.87746,17541.31869,1,0,121.49674450224103,25.094040835205313
1974,A6311-0787-00,A6311-67-002,A6311-67,63000110,士林區,63000,臺北市,302742.35826,2776311.85156,3627.65319,1,0,121.52290664353498,25.094185423069355
1975,A6311-0793-00,A6311-62-004,A6311-62,63000110,士林區,63000,臺北市,302298.08171,2776277.72508,15430.37397,0,0,121.51850077106248,25.093892792262704
1976,A6311-0807-00,A6311-67-008,A6311-67,63000110,士林區,63000,臺北市,302823.86029,2776199.10042,52775.40011,1,0,121.52371032393006,25.093164667948336
1977,A6311-0792-00,A6311-67-003,A6311-67,63000110,士林區,63000,臺北市,302673.6896,2776278.50828,5634.48327,0,0,121.52222458232357,25.093886801562217
2153,A6310-0030-00,A6310-04-002,A6310-04,63000100,內湖區,63000,臺北市,308917.03814,2775828.82723,2457.99042,0,0,121.58410154966867,25.089596377842685
2154,A6311-0939-00,A6311-71-008,A6311-71,63000110,士林區,63000,臺北市,301104.98336,2775820.1275,4426.53561,0,0,121.50665534947586,25.08980250825967
2155,A6310-0031-00,A6310-05-002,A6310-05,63000100,內湖區,63000,臺北市,310486.08944,2775818.2868,2599.75575,0,0,121.59965594419715,25.089439170625873
2156,A6311-0952-00,A6311-77-005,A6311-77,63000110,士林區,63000,臺北市,303037.54072,2775790.94389,8647.23296,0,0,121.5258129924197,25.08947238253767
2157,A6311-0947-00,A6311-75-001,A6311-75,63000110,士林區,63000,臺北市,302042.01151,2775803.96838,3331.32638,0,0,121.51594415011563,25.089624613476534
2158,A6311-0955-00,A6311-76-002,A6311-76,63000110,士林區,63000,臺北市,301515.58916,2775785.01885,5993.50334,0,0,121.51072465695681,25.089471594428606
2159,A6311-0954-00,A6311-72-009,A6311-72,63000110,士林區,63000,臺北市,301188.45746,2775792.65703,4715.34967,1,0,121.50748186412733,25.08955167897231
2160,A6310-0033-00,A6310-04-002,A6310-04,63000100,內湖區,63000,臺北市,308910.17663,2775809.1061,2433.96585,0,0,121.58403268261043,25.08941860713851
2161,A6311-0944-00,A6311-75-002,A6311-75,63000110,士林區,63000,臺北市,302110.24813,2775808.24669,2245.42592,0,0,121.51662078797601,25.089660883779143
2162,A6311-0948-00,A6311-76-003,A6311-76,63000110,士林區,63000,臺北市,301280.73795,2775797.12989,4786.02085,0,0,121.50839687043245,25.089588927743716
2163,A6311-0942-00,A6311-82-004,A6311-82,63000110,士林區,63000,臺北市,302829.43175,2775819.55663,1678.37702,0,0,121.52375097247662,25.089737992360355
2164,A6311-0961-00,A6311-73-006,A6311-73,63000110,士林區,63000,臺北市,302311.39632,2775769.47127,5405.9687,1,0,121.51861343048796,25.089303866352797
2165,A6311-0964-00,A6311-82-006,A6311-82,63000110,士林區,63000,臺北市,302731.37552,2775763.56455,7905.52793,0,0,121.52277672735048,25.089235929944614
2166,A6311-0950-00,A6311-71-004,A6311-71,63000110,士林區,63000,臺北市,300917.50348,2775794.01626,4776.39057,0,0,121.50479576191046,25.089573113100734
2167,A6311-0949-00,A6311-82-005,A6311-82,63000110,士林區,63000,臺北市,302763.00086,2775802.16442,1755.28307,0,0,121.52309173082286,25.089583300582657
2360,A6310-0142-00,A6310-12-003,A6310-12,63000100,內湖區,63000,臺北市,310734.84116,2775497.81385,9721.25422,0,0,121.60210779179708,25.0865360259659
2361,A6310-0129-00,A6310-14-007,A6310-14,63000100,內湖區,63000,臺北市,307333.34069,2775521.57064,4657.42587,0,0,121.56838863148164,25.086883494168482
2362,A6310-0141-00,A6310-10-004,A6310-10,63000100,內湖區,63000,臺北市,306595.22187,2775494.90731,7224.28374,0,0,121.56107028445648,25.08667063023992
2363,A6310-0132-00,A6310-14-006,A6310-14,63000100,內湖區,63000,臺北市,307393.9819,2775510.60412,2023.69686,0,0,121.56898933235728,25.086782186325507
2364,A6311-1046-00,A6311-79-004,A6311-79,63000110,士林區,63000,臺北市,301210.70454,2775515.50026,2404.68592,0,0,121.50769209104057,25.087048775487798
2365,A6311-1053-00,A6311-79-005,A6311-79,63000110,士林區,63000,臺北市,300983.2208,2775489.55298,4855.18547,0,0,121.50543597267811,25.08682222419762
2366,A6310-0134-00,A6310-09-008,A6310-09,63000100,內湖區,63000,臺北市,309490.49699,2775506.7239,3143.00303,0,0,121.589772627561,25.086666005703023
2367,A6311-1044-00,A6311-75-008,A6311-75,63000110,士林區,63000,臺北市,302080.59985,2775520.86892,3989.58593,0,0,121.51631597831786,25.087067487090263
2368,A6310-0136-00,A6310-09-007,A6310-09,63000100,內湖區,63000,臺北市,309407.80767,2775499.50656,4754.61774,2,0,121.58895259048728,25.086604104838475
